Headlines;vlad_entity;vlad;shanet_entity;shanet;dhruv_entity;dhruv;spacy_entity;spacy
This Land Was Made For You And Me' — Or Was It?;land;LOC;Land;LOC;Land;LOC;This Land Was Made;WORK_OF_ART
A Perspective On George Zimmerman That Every Person Should Hear;George Zimmerman;PERSON;George Zimmerman;PERSON;George Zimmerman;PERSON;George Zimmerman;PERSON
A Strategy To Combat Crime That McGruff Wished He Thought Of;McGruff;PERSON;McGruff;PERSON;McGruff;PERSON;McGruff;PERSON
Could You Go 100 Days Without Food? These Men Have.;100 Days;DATE;Men;PERSON;100 Days;DATE;100 Days;DATE
Here’s A Map of American Exceptionalism That’s Not...Err...So Exceptional;American Exceptionalism;NORP;American;NORP;American;NORP;American;NORP
I Can Think Of A Few Places I Would Rather Spend $60 Billion. Can’t You?;$60 Billion;MONEY;$60 Billion;MONEY;$60 Billion;MONEY;$60 Billion;MONEY
I Never Thought A 1 Minute Video Could Punch Me In The Heart. Yet Here We Are.;1 minute video;PRODUCT;1 minute;TIME;1 Minute;TIME;1 Minute;TIME
"I Would Have Answered ""superhero"" To This Question. John Lennon's Answer Was Much Better.";John Lenon;PERSON;John Lennons's;PERSON;John Lennon;PERSON;John Lennon's;PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;the president of Brazil;PERSON;President;PERSON;President;ORG;Brazil;GPE
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;Brazil;GPE;Brazil;GPE;Brazil;GPE;George Bush;PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;George Bush;PERSON;George Bush;PERSON;George Bush;PERSON;Year;DATE
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;This year's world cup;EVENT;This Year's World Cup;EVENT;This Year's;DATE;World Cup;EVENT
This Fathers Job To Care For His Children Didn’t End After His 16 Hour Shifts;16 Hour shift;TIME;16 Hour;TIME;16 Hour;TIME;16 Hour;TIME
Watch: The Best And Easiest Way You Can Spend The Next Two Minutes;Two minutes;TIME;Two Minutes;TIME;Two Minutes;TIME;The Next Two Minutes;TIME
What Bros Need To Know About Rape, By Peter Gabriel;Peter Gabriel;PERSON;Peter Gabriel;PERSON;Peter Gabriel;PERSON;Peter Gabriel;PERSON
When Facebook 'Likes' Meet Real Life, Things Get...Complicated;Facebook;PRODUCT;Facebook;PRODUCT;Facebook;ORG;Facebook;ORG
"""A major American theater has cast a black woman as Hamlet? Cool! That's also, you know, historic.""";Hamlet;PERSON;American;GPE;American;NORP;American;NORP
"""A major American theater has cast a black woman as Hamlet? Cool! That's also, you know, historic.""";black woman;PERSON;Hamlet;WORK_OF_ART;Hamlet;WORK_OF_ART;Hamlet;PERSON
"""Ban Bossy"" Is About People Putting Girls Down — See Beyonce & Her Celeb Friends Explain How";Ban Bossy;WORK_OF_ART;Ban Bossy;WORK_OF_ART;Ban Bossy;WORK_OF_ART;Ban Bossy;WORK_OF_ART
"""Ban Bossy"" Is About People Putting Girls Down — See Beyonce & Her Celeb Friends Explain How";Beyonce;PERSON;Beyonce;PERSON;Beyonce;PERSON;Beyonce;PERSON
"""Cafeteria Food"" Takes On New Meaning — And Taste — When You Leave The U.S.";Cafeteria Food;WORK_OF_ART;U.S.;GPE;U.S.;GPE;U.S.;GPE
"""Damn It."" -The Present. ""Sorry About That!"" -The Past.";The Present;DATE;Present;PRODUCT;The Past;DATE;Sorry About That;WORK_OF_ART
"""Fireworks"" isn't just a song. It's what scientists are seeing in musician brain scans.";Fireworks;WORK_OF_ART;Fireworks;WORK_OF_ART;Fireworks;WORK_OF_ART;Fireworks;WORK_OF_ART
"""Hum De Dum Dum, Singing In The Shower, Hum De Dum Du...oh, Oh NO! NOOO!... Oh, How Considerate!""";the shower;LOC;The Shower;PRODUCT;Singing In The Shower;WORK_OF_ART;Hum De Dum Dum, Singing In The Shower, Hum De Dum Du...oh, Oh NO;WORK_OF_ART
"""I Think It's Pretty Cool That There Are 6 Year Old Girls, Dropping In Bowls"".";6-year-old-girls;PERSON;Bowls;PRODUCT;6 Year;DATE;6 Year Old;DATE
"""I'm Just A Bill"" Parody A.K.A. Schoolhouse Cockblock";I'm just a bill;WORK_OF_ART;Schoolhouse;LOC;I'm Just A Bill;WORK_OF_ART;I'm Just A Bill;WORK_OF_ART
"""I've Got Nothing To Hide"" Is The Wrong Reaction To Have To The NSA Scandal. Here's Why.";I've got nothing to hide;WORK_OF_ART;NSA;ORG;I've Got Nothing To Hide;WORK_OF_ART;NSA;ORG
"""I've Got Nothing To Hide"" Is The Wrong Reaction To Have To The NSA Scandal. Here's Why.";NSA Scandal;EVENT;Scandal;EVENT;NSA;ORG;NSA;ORG
"""Pretty Much All Your Food Is Genetically Modified"" — What Neil Degrasse Tyson Basicaly Just Said";Neil Degrasse Tyson;PERSON;Neil Degrasse Tyson;PERSON;Neil Degrasse Tyson;PERSON;Neil Degrasse Tyson Basicaly;PERSON
"""Prohibition Worked For Alcohol, It Can Work For Drugs Too!"" Congress";Prohibition;LAW;Alcohol;PRODUCT;Congress;NORP;Congress;ORG
"""STRAIGHT TO THE SOURCE: If You Have Questions About Islam, Maybe Ask A Muslim?";Muslim;PERSON;Islam;NORP;Islam;NORP;Islam;ORG
"""STRAIGHT TO THE SOURCE: If You Have Questions About Islam, Maybe Ask A Muslim?";Islam;PRODUCT;Muslim;NORP;Muslim;NORP;Muslim;NORP
"""Seeing This Picture Reminds Me Of Everything I Went Through""";This picture;WORK_OF_ART;Picture;PRODUCT;This Picture;WORK_OF_ART;Seeing This Picture Reminds;WORK_OF_ART
"""That Was My Tuesday. It's Not A Black Issue; It's Tuesday.""";Tuesday;DATE;Tuesday;DATE;Tuesday;DATE;Tuesday;DATE
"""That Was My Tuesday. It's Not A Black Issue; It's Tuesday.""";Tuesday;DATE;Tuesday;DATE;Tuesday;DATE;Tuesday;DATE
"""The Wolf Of Wall Street"" Was 180 Minutes. Here's An Explanation Of The Stock Exchange In 3 Minutes.";The Wolf of Wall Street;WORK_OF_ART;The Wolf Of Wall Street;WORK_OF_ART;The Wolf Of Wall Street;WORK_OF_ART;The Wolf Of Wall Street;WORK_OF_ART
"""The Wolf Of Wall Street"" Was 180 Minutes. Here's An Explanation Of The Stock Exchange In 3 Minutes.";180 minutes;TIME;180 Minutes;TIME;180 Minutes;TIME;180 Minutes;TIME
"""The Wolf Of Wall Street"" Was 180 Minutes. Here's An Explanation Of The Stock Exchange In 3 Minutes.";3 minutes;TIME;3 Minutes;TIME;3 Minutes;TIME;3 Minutes;TIME
"""Uncle Johnny Stews Good Time Syria Jamboree"" Plays The Right Tune About Our Involvement";Uncle Johnny;PERSON;Uncle Johnny ;PERSON;Uncle Johnny Stews Good Time Syria Jamboree;WORK_OF_ART;Uncle Johnny Stews Good Time Syria Jamboree;WORK_OF_ART
"""Unhand Him You Foul Beast!"" Is What Looking At The Following Cartoon Makes Me Want To Yell";cartoon;PRODUCT;Cartoon;PRODUCT;-;UNKNOWN;Unhand Him;WORK_OF_ART
"""Women Just Haven't Done That Much"" Could Be My Least Favorite Media Moment Of 2013. What's Yours?";Woman just haven't done much;WORK_OF_ART;Women;PERSON;2013;DATE;Women Just Haven't Done That Much;WORK_OF_ART
"""Women Just Haven't Done That Much"" Could Be My Least Favorite Media Moment Of 2013. What's Yours?";Moment of 2013;DATE;2013;DATE;-;UNKNOWN;2013;DATE
"""Yemen Won't Even Acknowledge That It Has A Drone Program That Bombs America""";Yemen;GPE;Yemen;ORG;Yemen;GPE;Yemen;GPE
"""Yemen Won't Even Acknowledge That It Has A Drone Program That Bombs America""";Drone;PRODUCT;America;GPE;America;GPE;America;GPE
"""You throw like a girl!"" MythBusters puts the classic insult to the test.";Mythin Busters;PERSON;MythBustera;ORG;MythBusters;WORK_OF_ART;MythBusters;WORK_OF_ART
#26 and #28 created it. #32 expanded it. For a century, it grew. Now #44 is giving it away to kids.;Century;DATE;century;DATE;a century;DATE;a century;DATE
#Brozac: The Solution For When The Media Stops Catering To You. The Struggle Is Real.;Brozac;PERSON;Brozac;ORG;The Media;ORG;Brozac;WORK_OF_ART
#NoKXL In One Horrifying 3-Minute Clip;3-minute;TIME;3-minute;TIME;3-Minute;TIME;3-Minute;TIME
#askhermore isn't just for the red carpet.;carpet;PRODUCT;red carpet;PRODUCT;-;UNKNOWN;askhermore;EVENT
$1.6 Trillion Is The Total Wealth Of The World's A) Poorest 3.5 Billion Or B) Richest 85 Folks?;1.6 Trillion;MONEY;$1.6 Trillion;MONEY;$1.6 Trillion;MONEY;$1.6 Trillion;MONEY
$1.80?;$1.80;MONEY;$1.80;MONEY;$1.80;MONEY;1.80;MONEY