Headlines,,Vlad
This Land Was Made For You And Me' — Or Was It?,land,LOC
A Perspective On George Zimmerman That Every Person Should Hear,George Zimmerman,PERSON
A Strategy To Combat Crime That McGruff Wished He Thought Of,McGruff,PERSON
Could You Go 100 Days Without Food? These Men Have.,100 Days,TIME
Here’s A Map of American Exceptionalism That’s Not...Err...So Exceptional,American Exceptionalism,NORP
I Can Think Of A Few Places I Would Rather Spend $60 Billion. Can’t You?,$60 Billion,MONEY
I Never Thought A 1 Minute Video Could Punch Me In The Heart. Yet Here We Are.,1 minute video,PRODUCT
"I Would Have Answered ""superhero"" To This Question. John Lennon's Answer Was Much Better.",John Lenon,PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.,the president of Brazil,PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.,Brazil,GPE
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.,George Bush,PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.,This year's world cup,EVENT
This Fathers Job To Care For His Children Didn’t End After His 16 Hour Shifts,16 Hour shift,TIME
Watch: The Best And Easiest Way You Can Spend The Next Two Minutes,Two minutes,TIME
"What Bros Need To Know About Rape, By Peter Gabriel",Peter Gabriel,PERSON
"When Facebook 'Likes' Meet Real Life, Things Get...Complicated",Facebook,PRODUCT
"""A major American theater has cast a black woman as Hamlet? Cool! That's also, you know, historic.""",Hamlet,PERSON
"""A major American theater has cast a black woman as Hamlet? Cool! That's also, you know, historic.""",black woman,PERSON
"""Ban Bossy"" Is About People Putting Girls Down — See Beyonce & Her Celeb Friends Explain How",Ban Bossy,WORK_OF_ART
"""Ban Bossy"" Is About People Putting Girls Down — See Beyonce & Her Celeb Friends Explain How",Beyonce,PERSON
"""Cafeteria Food"" Takes On New Meaning — And Taste — When You Leave The U.S.",Cafeteria Food,WORK_OF_ART
"""Damn It."" -The Present. ""Sorry About That!"" -The Past.",The Present,DATE
"""Fireworks"" isn't just a song. It's what scientists are seeing in musician brain scans.",Fireworks,WORK_OF_ARTq
"""Hum De Dum Dum, Singing In The Shower, Hum De Dum Du...oh, Oh NO! NOOO!... Oh, How Considerate!""",the shower,LOC
"""I Think It's Pretty Cool That There Are 6 Year Old Girls, Dropping In Bowls"".",6-year-old-girls,PERSON
"""I'm Just A Bill"" Parody A.K.A. Schoolhouse Cockblock",I'm just a bill,WORK_OF_ART
"""I've Got Nothing To Hide"" Is The Wrong Reaction To Have To The NSA Scandal. Here's Why.",I've got nothing to hide,WORK_OF_ART
"""I've Got Nothing To Hide"" Is The Wrong Reaction To Have To The NSA Scandal. Here's Why.",NSA Scandal,EVENT
"""Pretty Much All Your Food Is Genetically Modified"" — What Neil Degrasse Tyson Basicaly Just Said",Neil Degrasse Tyson,PERSON
"""Prohibition Worked For Alcohol, It Can Work For Drugs Too!"" Congress",Prohibition,LAW
"""STRAIGHT TO THE SOURCE: If You Have Questions About Islam, Maybe Ask A Muslim?",Muslim,PERSON
"""STRAIGHT TO THE SOURCE: If You Have Questions About Islam, Maybe Ask A Muslim?",Islam,PRODUCT
"""Seeing This Picture Reminds Me Of Everything I Went Through""",This picture,WORK_OF_ART
"""That Was My Tuesday. It's Not A Black Issue; It's Tuesday.""",Tuesday,DATE
"""That Was My Tuesday. It's Not A Black Issue; It's Tuesday.""",Tuesday,DATE
"""The Wolf Of Wall Street"" Was 180 Minutes. Here's An Explanation Of The Stock Exchange In 3 Minutes.",The Wolf of Wall Street,WORK_OF_ART
"""The Wolf Of Wall Street"" Was 180 Minutes. Here's An Explanation Of The Stock Exchange In 3 Minutes.",180 minutes,TIME
"""The Wolf Of Wall Street"" Was 180 Minutes. Here's An Explanation Of The Stock Exchange In 3 Minutes.",3 minutes,TIME
"""Uncle Johnny Stews Good Time Syria Jamboree"" Plays The Right Tune About Our Involvement",Uncle Johnny,PERSON
"""Unhand Him You Foul Beast!"" Is What Looking At The Following Cartoon Makes Me Want To Yell",cartoon,PRODUCT
"""Women Just Haven't Done That Much"" Could Be My Least Favorite Media Moment Of 2013. What's Yours?",Woman just haven't done much,WORK_OF_ART
"""Women Just Haven't Done That Much"" Could Be My Least Favorite Media Moment Of 2013. What's Yours?",Moment of 2013,DATE
"""Yemen Won't Even Acknowledge That It Has A Drone Program That Bombs America""",Yemen,GPE
"""Yemen Won't Even Acknowledge That It Has A Drone Program That Bombs America""",Drone,PRODUCT
"""You throw like a girl!"" MythBusters puts the classic insult to the test.",Mythin Busters,PERSON
"#26 and #28 created it. #32 expanded it. For a century, it grew. Now #44 is giving it away to kids.",Century,DATE
#Brozac: The Solution For When The Media Stops Catering To You. The Struggle Is Real.,Brozac,PERSON
#NoKXL In One Horrifying 3-Minute Clip,3-minute,TIME
#askhermore isn't just for the red carpet.,carpet,PRODUCT
$1.6 Trillion Is The Total Wealth Of The World's A) Poorest 3.5 Billion Or B) Richest 85 Folks?,1.6 Trillion,MONEY
$1.80?,$1.80,MONEY